,word,frequency
398,Nikal,1
399,Le,1
400,Shaadi,2
401,Baad,1
402,Sab,1
403,Change,2
404,Ho,2
405,"Jayega,",1
406,Apni,1
407,Marji,1
408,Se,2
409,Bahar,1
410,Nahi,1
411,Jaa,1
412,"Payega,",1
413,Matlab,1
414,Barbadi,1
415,etc,2
416,sab,1
417,suna,1
418,hai,1
419,maine,1
420,pichle,1
421,ek,1
422,mahine,1
423,Your,3
424,Hand,1
425,Agar,1
426,Bonding,1
427,Achi,1
428,Understanding,1
429,"Ho,",1
430,Treat,1
431,Like,2
432,Special,1
433,One,1
434,And,2
435,Then,1
436,Will,1
437,Life,1
438,Good,1
439,Sense,1
440,Abhi,1
441,etc.,2
442,Yehi,1
443,se.,1
444,Only.,1
445,3d,4
446,Of,2
447,Momos,1
448,@brownmunde_india,1
449,Paschim,1
450,Koi,2
451,West,1
452,Delhi,4
453,To,2
454,Tag,3
455,Karo,1
456,Variety,1
457,Vihar,1
458,?,2
459,Chole,1
460,Kulche,1
461,From,2
462,Chawri,1
463,People,1
464,Don't,1
465,It,3
466,Because,1
467,High,1
468,Spice,1
469,Level.,1
470,But,2
471,Can,1
472,Customise,1
473,According,1
474,Lotan,1
475,Bazar,1
476,Many,1
477,Taste.,1
478,Making,4
479,🥰,1
480,Punjab,1
481,"Dairy,",1
482,Model,1
483,Town,1
484,Lover,1
485,Detailed,1
486,Video,1
487,:,4
488,Dil,1
489,Malai,2
490,2.,6
491,Full,1
492,Foodie,1
493,Ready,1
494,For,2
495,Chapter,1
496,Coming,1
497,Getting,1
498,@sukirti.sdhana.,1
499,Vlogs,1
500,Soon.,1
501,Onam,8
502,Sadya,1
503,meal,1
504,at,12
505,@sanadige,1
506,Rs,1
507,1599+,1
508,perfect,3
509,feast,1
510,multitude,1
511,homely,1
512,dishes,4
513,Kerala.,2
514,available,2
515,till,6
516,22nd,1
517,#sodelhi,6
518,#newdelhi,6
519,#foodtalkindia,6
520,#delhigram,6
521,#thali,1
522,#onam,1
523,#southindian,2
524,#southindianfood,2
525,#onamsadya,1
526,#kerala,1
527,#keralafood,1
528,#bangalore,2
529,#indianfoods,1
530,#bangalorefoodblogger,2
531,#mangalorefoodies,1
532,#keralafoodie,1
533,#kerala_diaries,1
534,#bangalorebloggers,2
535,#soulfood,1
536,#onamfood,1
537,#kochi,1
538,#delhifoodblogger,6
539,#indianfoodbloggers,5
540,#delhiblogger,2
541,#mumbaiblogger,2
542,foodie_incarnate,10
543,Enjoying,1
544,😍😍,1
545,Priced,1
546,August.🤗,1
547,#foodieincarnate,8
548,#foodblogger,5
549,15h,2
550,Khaja,1
551,watch,3
552,video,6
553,"location,",3
554,price,3
555,other,4
556,#foodgasm,3
557,#foodpornshare,3
558,#foodlover,3
559,#foodgram,4
560,#delhistreetfood,3
561,#delhifoodie,4
562,#indianfoodie,3
563,#desikhana,3
564,#indianfoodblogger,3
565,#delhifood,4
566,#mumbai,3
567,#delhi,6
568,#surat,1
569,Famous,2
570,Surat🤩🤩,1
571,Kindly,3
572,details🤗🤗,3
573,#khaja,1
574,Attack,1
575,channel.,3
576,#reelitfeelit,3
577,#reelkarofeelkaro,3
578,#reelsinstagram,3
579,#reels,3
580,#butter,2
581,#burger,1
582,#ghaziabad,1
583,Heart,1
584,Burger😱😱,1
585,Watch,3
586,bio🤗🤗,2
587,famous,4
588,Khali,3
589,Dose,3
590,rich,1
591,decadent,2
592,as,6
593,"buttery,",1
594,ghee,3
595,laden,1
596,dosa,4
597,or,8
598,Davangere,1
599,dose.,1
600,"contrary,",1
601,quite,1
602,simple.,1
603,Simple,1
604,it's,2
605,preperation,1
606,greets,1
607,palate.,1
608,While,1
609,well,2
610,"known,",1
611,khali,1
612,dose,1
613,relatively,1
614,lesser,1
615,known,1
616,but,2
617,share,2
618,aficionados.,1
619,most,6
620,shop,1
621,years,1
622,old,1
623,Hotel,1
624,Dwarka,1
625,NR,1
626,"colony,",1
627,Bangalore.,1
628,Must,1
629,are,6
630,#dosa,1
631,#dose,1
632,#nammabangalore,1
633,#nammabengaluru,1
634,#nammakarnataka,1
635,#bangalorefood,2
636,#bengaluru,1
637,#bangalorefoodies,1
638,#bangalorefoodie,1
639,#bangalore_diaries,1
640,#chennai,1
641,#mysuru,1
642,Most,1
643,India😍😍,1
644,lover.❤🤗,1
645,#sobangalore,1
646,TamTam,1
647,#vadodara,1
648,Factory,1
649,Vadodara🤩🤩,1
650,#namkeen,1
651,Cheese,7
652,ki,1
653,#cheese,3
654,Butter,4
655,Sabzi🤭🤭,1
656,#kolkata,2
657,Rasgulla,1
658,take,6
659,away,2
660,Monday,1
661,blues🤩🤩,1
662,friends,1
663,who,1
664,love,3
665,#desifood,1
666,#rasgulla,1
667,#bengali,1
668,#bengalifood,1
669,#foodism,1
670,#lockdown,1
671,#delhifoodblog,1
672,#goodfood,1
673,#sugarcoma,1
674,#dessertfirst,1
675,#indiansweets,1
676,#sugarrush,1
677,#sugarhigh,1
678,#dessertgram,1
679,#dessertaddict,1
680,#dessert,1
681,#sweettooth,1
682,Stuffed,2
683,it🤗🤗,1
684,#Foodieincarnate,2
685,#mithai,1
686,Pheni,1
687,#eastdelhi,1
688,Epic,1
689,Delhi🤩🤩,1
690,#pheni,1
691,Soybean,1
692,Gurudwara,1
693,Bangla,1
694,#gurudwara,1
695,#sikh,1
696,#sikhism,1
697,#waheguru,1
698,Sahib🙏🏻🙏🏻,1
699,bio🤗,1
700,#langar,1
701,Impress?,1
702,"Sorry,",1
703,shoes,2
704,these,4
705,pair,2
706,fausto_online.,1
707,They,5
708,offer,1
709,great,1
710,comfort,2
711,affordable,1
712,price.,1
713,15,3
714,"days,",1
715,question,1
716,asked,1
717,return,1
718,#Fausto,1
719,#FaustoShoes,1
720,#formalshoes,1
721,#shoes,1
722,#mensshoes,1
723,#mensfashion,1
724,#fashion,1
725,#casualshoes,1
726,#leathershoes,1
727,#sneakers,1
728,#mensstyle,1
729,#loafers,1
730,#menswear,1
731,#menshoes,1
732,#formalshoesformen,1
733,#shoesaddict,1
734,#dressshoes,1
735,#footwear,1
736,#shoesforsale,1
737,#sportsshoes,1
738,#formal,1
739,#shoesformen,1
740,#formalwear,1
741,#shoestyle,1
742,#boots,1
743,#onlineshopping,1
744,#style,1
745,#leather,1
746,#classicshoes,1
747,Dress,1
748,talking!,1
749,Got,1
750,policy!,1
751,@fausto_online,1
752,Pepper,4
753,Chicken,5
754,preparations,1
755,Andhra,3
756,Delicacy.,1
757,Make,4
758,hassle,1
759,free,1
760,"pre-cut,",1
761,pre-cleaned,1
762,ready,3
763,use,3
764,chicken,12
765,@myfreshtohome.,1
766,Now,1
767,don’t,1
768,need,4
769,step,1
770,apne,1
771,aap,1
772,"se,",1
773,easily,1
774,buy,1
775,“Fresh,1
776,Home”,1
777,app,1
778,se,1
779,#Freshstart,1
780,Fresh,4
781,":
For",1
782,Marination,1
783,gm,3
784,"Pre-cut,",2
785,Pre-cleaned,2
786,Lemon,1
787,tbsp,7
788,Ginger,2
789,tsp,20
790,Turmeric,1
791,Cooking,1
792,Fennel,3
793,Cumin,3
794,Green,4
795,"Onion
1",1
796,Seed,2
797,Black,2
798,cup,17
799,Curry,1
800,":

In",1
801,bowl,5
802,add,12
803,500,2
804,@myfreshtohome,2
805,marinate,1
806,20,1
807,heated,2
808,pan,1
809,"oil,",1
810,Add,11
811,seeds,1
812,Seeds,3
813,Chillies,3
814,wait,1
815,temper.,1
816,cook,4
817,becomes,1
818,Marinated,1
819,pan.,1
820,Stir,1
821,high,1
822,flame,2
823,minutes,6
824,powdered,1
825,spices,1
826,Mix,4
827,1/4,3
828,water,3
829,medium,4
830,low,2
831,cooked,2
832,curry,1
833,leaves,2
834,coriander,2
835,another,1
836,2-3,2
837,Coriander,2
838,Leaves.,1
839,dilicious,1
840,served,2
841,favourite,2
842,Roti,1
843,Rice.,1
844,#freshstart,1
845,Home,2
846,#chicken,2
847,#chickenrecipes,1
848,#andhrapepperchicken,1
849,#easyrecipes,1
850,#fresh,1
851,#freshtohome,1
852,#foodrushrecipe,3
853,foodrush.recipe,10
854,!!!,7
855,Ingredients,2
856,1/2,13
857,Juice,1
858,1,19
859,Paste,2
860,Powder,4
861,Salt,5
862,Oil,3
863,Water,3
864,10-15,1
865,Leaves,1
866,Method,1
867,ingredients.,1
868,__,5
869,translucent.,1
870,well.,4
871,Flame.,1
872,Once,3
873,flame.,1
874,Garnish,1
875,8h,1
876,staring,2
877,screen,2
878,day,6
879,"good,",2
880,"strong,",2
881,foamy,2
882,cuppa?,2
883,Sunbean,2
884,Beaten,2
885,Caffe,2
886,"@itcsunbean,",2
887,beaten,2
888,coffee,6
889,30,5
890,seconds!,2
891,more,3
892,whipping,2
893,elbows,2
894,hurt!,2
895,A,4
896,bad,2
897,better,3
898,than,2
899,good,2
900,without,2
901,#Sunbeanbeatencaffe,2
902,#BeatenCoffee,2
903,#easycoffeeeasytimes,2
904,#dalgonacoffee,2
905,#coffee,2
906,#coffeelover,2
907,#coffeetime,2
908,Tired,2
909,!,2
910,"#BeatenCoffeeHack,",2
911,#coffeeholic,2
912,13w,2
913,Bonda,1
914,twist,1
915,regular,1
916,bonda!!!,1
917,Try,1
918,yet,4
919,tasty,2
920,enjoy,1
921,weekend,1
922,Tomato,1
923,😀,2
924,22w,1
925,bhaji,6
926,best,2
927,ever,4
928,tasted.,2
929,We,2
930,just,8
931,serve,3
932,convenient,2
933,cheesy,4
934,@gocheesein,2
935,😋This,2
936,specially,2
937,cheese,3
938,lovers,3
939,there,3
940,cause,2
941,#HarTastyCheezMeinGoCheese,2
942,Refined,2
943,Warm,2
944,Pizza,6
945,warm,3
946,milk,4
947,sugar,2
948,yeast,2
949,rest,2
950,10,2
951,minutes.,8
952,mixture,4
953,become,3
954,bubbly,2
955,refined,2
956,flour.,2
957,salt,2
958,flour,2
959,combine,2
960,soft,3
961,dough.,2
962,Rest,3
963,doubles,2
964,pav,2
965,grated,2
966,Go,6
967,Cheese.,2
968,dough,2
969,Cut,2
970,circles,2
971,sheet,2
972,help,2
973,cookie,3
974,shape,2
975,shown,2
976,shapes,2
977,form,2
978,flower,2
979,between,2
980,two,5
981,@200,2
982,degree,2
983,15-20,2
984,ketchup!!!,2
985,#pavbhaji,2
986,#cheesy,2
987,#gocheese,2
988,#bakery,2
989,#bread,3
990,#twist,2
991,#party,2
992,Ingredients:,2
993,Flour,2
994,Milk,2
995,Yeast,2
996,Sugar,2
997,Method:,3
998,size.,2
999,—,21
1000,Puncture,2
1001,cutter.,2
1002,Spread,2
1003,video.,2
1004,Arrange,2
1005,petals.,2
1006,Bake,2
1007,Serve,3
1008,30w,3
1009,Bread,1
1010,Pakora,1
1011,Sound,1
1012,exciting,2
1013,"right,",1
1014,its,2
1015,bite,1
1016,😋,3
1017,#pakora,1
1018,#fried,2
1019,#breadpakoda,1
1020,#masala,1
1021,#streetstyle,1
1022,#india,1
1023,#indian,1
1024,new,2
1025,year,1
1026,foodies!!,1
1027,🥳🥳🥳Try,1
1028,Hot,3
1029,Chocolate,1
1030,Bombs,1
1031,winter,1
1032,comfortable,1
1033,😉,1
1034,These,1
1035,magical,1
1036,chocolate,8
1037,bombs,1
1038,melt,3
1039,😋#newyear,1
1040,#chocolate,1
1041,#coco,1
1042,#cocoa,1
1043,#bombs,1
1044,#chocolatebomb,1
1045,#hotchocolate,1
1046,#winter,1
1047,#winterseason,1
1048,#magic,1
1049,Happy,1
1050,33w,3
1051,chilli,3
1052,Want,1
1053,plan,1
1054,easier,1
1055,fastest,1
1056,Year,1
1057,eve,1
1058,simplest,1
1059,tastier,1
1060,indo,1
1061,#egg,1
1062,#indochinese,1
1063,#chinese,1
1064,#chinesefood,1
1065,#fusion,1
1066,#chilli,1
1067,#newyear,1
1068,#newyear2021,1
1069,Egg,1
1070,#newyeareve,1
1071,mouthwatering,2
1072,juicy,2
1073,grilled,3
1074,Its,1
1075,"chilli,",1
1076,"garlic,",1
1077,"lemon,",1
1078,malai,1
1079,special,4
1080,ingredient,1
1081,thats,1
1082,@californiawalnutsindia,1
1083,Walnuts,3
1084,makes,2
1085,taste,3
1086,healthier,1
1087,kebab,1
1088,skewers,1
1089,mouth,1
1090,":
500",1
1091,California,3
1092,Hung,1
1093,Garam,1
1094,Kasuri,1
1095,Chopped,1
1096,"salt,",2
1097,black,1
1098,pepper,1
1099,ginger,1
1100,paste.,1
1101,fine,1
1102,paste,1
1103,hung,1
1104,"curd,",1
1105,fresh,4
1106,"cream,",1
1107,"chillies,",1
1108,kauri,1
1109,"methi,",1
1110,walnuts,2
1111,"paste,",1
1112,cornstarch.,1
1113,marinated,1
1114,coat,1
1115,pieces,2
1116,mixture.,1
1117,coal,2
1118,cover,1
1119,immediately.,1
1120,Let,1
1121,covered,1
1122,chopped,1
