,word,frequency
1581,"Shetty,",1
1582,lavished,1
1583,seems,1
1584,lovechild,1
1585,roast,1
1586,Japanese-Lebanese,1
1587,pastiche,1
1588,miso-glazed,1
1589,eggplant,1
1590,billow,1
1591,labneh,1
1592,cumin-caramelised,1
1593,Opera,1
1594,matcha,1
1595,sponge,1
1596,mango-passionfruit,1
1597,Ghewar,1
1598,sandwiched,1
1599,piped,1
1600,saffron,1
1601,rabri,1
1602,cremeux,1
1603,Plot,1
1604,Number,1
1605,"602,",1
1606,Dr,1
1607,Ambedkar,1
1608,"Road,",1
1609,"Naka,",1
1610,Bandra,1
1611,"West,",1
1612,@joshihouse,1
1613,menu:,1
1614,jus.,1
1615,gassi.,1
1616,carrots.,1
1617,jelly.,1
1618,pistachios.,1
1619,Address:,1
1620,#BeerSoakedGrilledCheese,1
1621,large,2
1622,lager,1
1623,tsp.,1
1624,Pinch,1
1625,4,2
1626,slices,3
1627,tbsp.,1
1628,shredded,1
1629,6,1
1630,"bacon,",1
1631,shallow,1
1632,"dish,",1
1633,whisk,1
1634,"eggs,",1
1635,"beer,",1
1636,"powder,",1
1637,powder.,1
1638,"bread,",1
1639,soaking,1
1640,seconds.,1
1641,skillet,1
1642,"heat,",1
1643,tablespoons,1
1644,butter.,1
1645,soaked,1
1646,bread,1
1647,Flip,1
1648,"one,",1
1649,top,1
1650,half,1
1651,cheddar,2
1652,bacon.,1
1653,Sandwich,1
1654,remaining,1
1655,slice,1
1656,bread.,1
1657,Cook,1
1658,until,1
1659,sandwich,1
1660,deeply,1
1661,"golden,",1
1662,per,1
1663,side.,1
1664,Repeat,1
1665,"@delish
3d",1
1666,#InTheKitchen,1
1667,🧀🍺,1
1668,INGREDIENTS,1
1669,*,11
1670,eggs,1
1671,beer,1
1672,powder,2
1673,sourdough,1
1674,butter,1
1675,DIRECTIONS,1
1676,sandwich.,1
1677,Credits:,1
1678,"🔥🌶

Spice",1
1679,that'll,1
1680,nose,1
1681,"run,",1
1682,eyes,1
1683,"water,",1
1684,heart,1
1685,yearn!,1
1686,brands,1
1687,Offers,2
1688,three,1
1689,variants,2
1690,"Original,",1
1691,Smoky,2
1692,"Bhoot,",1
1693,Kantha,1
1694,Bomb.,1
1695,go-to,2
1696,Bhoot,1
1697,profile,1
1698,that's,1
1699,built,1
1700,base,1
1701,"celery,",1
1702,"onions,",1
1703,fiery,1
1704,Bhut,2
1705,Jolokia,2
1706,Habanero,1
1707,Premium,1
1708,Wood-Aged,1
1709,Their,1
1710,popular,1
1711,spicy,2
1712,sauces,2
1713,include,1
1714,Cranberry,1
1715,Ghost,2
1716,"Chili,",2
1717,Super,1
1718,Honey,1
1719,Boom,1
1720,"Boom,",1
1721,Boom.,1
1722,"Baconite,",1
1723,India’s,1
1724,bacon,1
1725,"it,",1
1726,homemade,3
1727,artisanal,1
1728,wok,1
1729,"sauces,",2
1730,spice,1
1731,"mixes,",1
1732,"marinades,",1
1733,:They,1
1734,embrace,1
1735,flavors,1
1736,aromas,1
1737,cuisine.,1
1738,retail,1
1739,six,1
1740,sauces—Bambaiyya,1
1741,Hari,1
1742,"Chutney,",2
1743,"Sauce,",3
1744,Chilli,2
1745,Imli,1
1746,Makhani,1
1747,Mango,1
1748,missed,1
1749,any?,1
1750,Comment,1
1751,tell,1
1752,#HotFinds,1
1753,#BOMB💣,1
1754,@naaginsauce,1
1755,garlic!,1
1756,@spriggourmet,1
1757,sauce!,1
1758,@eldiablosauces,1
1759,bomb!,1
1760,@not_just_hot_saucesandmore,1
1761,@picosauces,1
1762,Sauce.,1
1763,Have,1
1764,#AddToCart.,1
1765,#FTIFindOfTheMonth,1
1766,bits,1
1767,end,1
1768,ice,1
1769,cones,1
1770,could,1
1771,enough,1
1772,"of,",1
1773,@wafflehouse_in,3
1774,those,1
1775,flavours,1
1776,"chocolate,",3
1777,"butterscotch,",1
1778,choco,1
1779,dipped,1
1780,lucky,1
1781,stand,1
1782,chance,1
1783,heavenly,2
1784,"product,",1
1785,here’s,1
1786,Tell,1
1787,what’s,1
1788,favorite,1
1789,Waffle,1
1790,fellow,1
1791,waffle,5
1792,you’d,1
1793,with!,1
1794,waffles,1
1795,"batter,",1
1796,loaded,1
1797,about!,1
1798,Aside,1
1799,insane,1
1800,"chips,",1
1801,"chocolates,",1
1802,pancake,1
1803,premixes,1
1804,sauces.,1
1805,Everything,1
1806,freshly,1
1807,100,1
1808,varieties,1
1809,choose,1
1810,contest,1
1811,open,2
1812,PAN,1
1813,India,1
1814,closes,1
1815,16th,1
1816,"August,",1
1817,12,1
1818,#GIVEAWAYALERT,1
1819,Small,1
1820,do:,1
1821,flavour?,1
1822,made!,1
1823,from!,1
1824,PS.,1
1825,PM.,1
1826,#Delhi,1
1827,@the_pit_by_hman,2
1828,been,1
1829,our,1
1830,juiciest,1
1831,"ribs,",1
1832,"steaks,",1
1833,meat!,1
1834,cozy,1
1835,8-seater,1
1836,grill,1
1837,counter,1
1838,joint,1
1839,going,2
1840,"big,",1
1841,welcome,1
1842,addition,1
1843,city’s,1
1844,dining,1
1845,scene.,1
1846,Pit,1
1847,name,2
1848,suggests,1
1849,live,1
1850,BBQ,1
1851,capital,1
1852,"witness,",1
1853,we’re,1
1854,talking,1
1855,"hogs,",1
1856,"t-bones,",1
1857,"briskets,",1
1858,slow,1
1859,"cooking,",1
1860,smoking,1
1861,meat,2
1862,"hours,",1
1863,wholesome,1
1864,messy,1
1865,perfection.,1
1866,14th,1
1867,August,1
1868,Basant,1
1869,Lok,1
1870,"Market,",1
1871,Priya,1
1872,Complex.,1
1873,calendars,1
1874,🥩🥓🍖🍔,1
1875,@hman_bbq,1
1876,few!,1
1877,Mark,1
1878,🗓,1
